Country;Girls enrolled in high school, %;girls under 18 married, %;how many girls give birth (1 in x);how many girls give birth,%
Ukraine;97;10;38;3
Pakistan;31;24;37;3
Jordan;89;10;37;3
Kazakhstan;96;6;33;3
Turkey;84;14;32;3
India;66;47;30;3
Cuba;90;40;25;4
Egypt;86;17;23;4
Georgia;87;14;21;5
Ghana;58;21;17;6
Mexico;89;23;16;6
Colombia;97;23;15;7
Nepal;68;41;14;7
Bolivia;77;22;14;7
Bangladesh;57;66;13;8
Ethiopia;22;41;13;8
Honduras;80;39;12;8
CAR;12;68;11;9
Burkina Faso;23;52;9;11
Somalia;5;45;9;11
Nigeria;41;39;9;11
Tanzania;33;37;9;11
Guinea;29;63;8;13
Mozambique;24;56;8;13
Uganda;25;40;8;13
DR Congo;32;39;8;13
Côte d'Ivoire;17;35;8;13
Chad;14;68;7;14
Mali;37;55;6;17
Niger;13;75;5;20
